"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp2-R0"
"04/15/2020 15:18:04:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-symptomatiques","p-asymptomatiques","p-immuniser","p-mort","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"51","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","233","0.2828185328185328","0.9829351535836177","21.252559726962456","0.9829351535836177"
"49","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","439","0.4140926640926641","0.9883449883449883","19.375291375291376","0.9883449883449883"
"55","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","174","0.3696911196911197","0.9869451697127938","21.963446475195823","0.9869451697127938"
"53","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","165","0.18243243243243243","0.9735449735449735","20.105820105820104","0.9735449735449735"
"52","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","405","0.527027027027027","0.9908424908424909","21.261904761904763","0.9908424908424909"
"54","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","230","0.17277992277992277","0.9720670391061452","19.564245810055866","0.9720670391061452"
"56","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","208","0.1611969111969112","0.9700598802395209","20.520958083832337","0.9700598802395209"
"60","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","163","0.416023166023166","0.988399071925754","19.82598607888631","0.988399071925754"
"59","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","191","0.33494208494208494","0.9855907780979827","22.092219020172912","0.9855907780979827"
"58","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","300","0.5231660231660231","0.9907749077490775","19.54612546125461","0.9907749077490775"
"63","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","133","0.18822393822393824","0.9743589743589743","18.205128205128204","0.9743589743589743"
"61","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","235","0.20656370656370657","0.9766355140186916","19.96728971962617","0.9766355140186916"
"57","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","326","0.17374517374517376","0.9722222222222222","18.711111111111112","0.9722222222222222"
"66","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","194","0.32432432432432434","0.9851190476190477","19.19047619047619","0.9851190476190477"
"64","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","252","0.30212355212355213","0.9840255591054313","20.236421725239616","0.9840255591054313"
"62","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","377","0.4083011583011583","0.9881796690307328","19.009456264775412","0.9881796690307328"
"67","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","271","0.6216216216216216","0.9922360248447205","20.959627329192546","0.9922360248447205"
"68","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","212","0.24903474903474904","0.9806201550387597","19.651162790697676","0.9806201550387597"
"65","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","269","0.13223938223938225","0.9635036496350365","22.32846715328467","0.9635036496350365"
"70","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","246","0.277992277992278","0.9826388888888888","20.635416666666668","0.9826388888888888"
