"[run number]","scenarios","density","rayon","quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-mort","vitesse-de-deplacement-groupe","[step]","count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","sum [count out-link-neighbors] of turtles with [ who mod 2 = 0]","sum [count out-link-neighbors] of turtles with [ who mod 2 = 1]","count turtles with [state = 3 and who mod 2 = 0]","count turtles with [state = 3 and who mod 2 = 1]"
"141","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","208","1036","0.995159728944821","19.686350435624394","628","400","311","321"
"143","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","147","1036","0.9951690821256038","20.245410628019325","593","437","300","311"
"142","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","197","1036","0.9951737451737451","20.314671814671815","615","416","327","301"
"146","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","158","1036","0.995159728944821","22.035818005808324","656","372","307","315"
"144","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","190","1036","0.9951690821256038","20.99806763285024","615","415","312","322"
"147","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","204","1036","0.9951267056530214","20.453216374269005","600","421","297","344"
"145","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","212","1036","0.9951690821256038","20.515942028985506","631","399","307","294"
"148","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","159","1036","0.9951503394762367","20.645974781765275","615","411","323","307"
"150","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","169","1036","0.995159728944821","20.268151016456923","624","404","314","305"
"149","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","181","1036","0.9951503394762367","20.056256062075654","635","391","317","302"
"151","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","175","1036","0.9951076320939335","20.122309197651663","609","408","312","282"
"152","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","193","1036","0.995159728944821","21.037754114230395","610","418","318","295"
"153","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","253","1036","0.9951690821256038","20.817391304347826","592","438","320","304"
"156","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","150","1036","0.995159728944821","20.06679574056147","616","412","327","327"
"154","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","209","1036","0.995164410058027","19.680851063829788","599","430","322","313"
"155","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","194","1036","0.995159728944821","19.902226524685382","620","408","302","306"
"159","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","150","1036","0.9950884086444007","20.06581532416503","647","366","306","291"
"161","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","159","1036","0.9951503394762367","20.554801163918526","647","379","322","315"
"158","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","179","1036","0.9951503394762367","20.412221144519883","635","391","318","325"
"157","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","210","1036","0.9950445986124876","19.76412289395441","585","419","316","317"
"162","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","203","1036","0.9951737451737451","20.245173745173744","639","392","302","322"
"160","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","2.5","163","1036","0.9951503394762367","19.66149369544132","603","423","316","309"
"163","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","181","1036","0.9951737451737451","20.50772200772201","669","362","306","308"
"164","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","201","1036","0.995164410058027","21.4468085106383","643","386","322","316"
"165","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","201","1036","0.995164410058027","20.096711798839458","645","384","307","300"
"167","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","154","1036","0.9951737451737451","20.316602316602317","640","391","291","300"
"166","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","164","1036","0.995159728944821","20.913843175217814","618","410","309","317"
"170","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","152","1036","0.995159728944821","19.68538238141336","635","393","309","291"
"169","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","177","1036","0.9951737451737451","20.117760617760617","644","387","301","324"
"168","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","216","1036","0.9951737451737451","21.348455598455597","663","368","332","320"
"171","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","186","1036","0.995159728944821","20.304937076476282","618","410","302","305"
"172","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","210","1036","0.9951690821256038","20.022222222222222","663","367","304","315"
"173","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","184","1036","0.9951737451737451","20.407335907335906","629","402","314","315"
"174","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","218","1036","0.9951737451737451","19.416023166023166","649","382","326","308"
"176","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","158","1036","0.9951690821256038","21.110144927536233","641","389","308","301"
"175","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","164","1036","0.9951737451737451","20.572393822393824","642","389","309","327"
"178","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","225","1036","0.9951690821256038","22.142995169082127","649","381","314","324"
"177","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","181","1036","0.9951690821256038","19.862801932367148","673","357","315","319"
"179","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","250","1036","0.9951737451737451","20.69787644787645","649","382","315","319"
"181","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","142","1036","0.995159728944821","19.704743465634074","643","385","307","305"
"182","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","172","1036","0.995159728944821","19.170377541142305","639","389","303","335"
"180","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","167","1036","0.995164410058027","19.67504835589942","627","402","328","294"
"184","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","174","1036","0.9951690821256038","20.511111111111113","649","381","321","336"
"183","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","185","1036","0.995164410058027","19.8752417794971","629","400","295","279"
"185","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","200","1036","0.995159728944821","19.545014520813165","660","368","320","312"
"187","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","177","1036","0.9951737451737451","20.115830115830114","643","388","317","293"
"186","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","198","1036","0.995159728944821","19.84898354307841","651","377","314","316"
"188","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","158","1036","0.995159728944821","20.704743465634074","660","368","301","313"
"189","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","170","1036","0.9951550387596899","19.61627906976744","600","427","324","332"
"191","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","200","1036","0.995164410058027","20.26595744680851","632","397","313","309"
"194","pop-sans-asymptomatique","0.04","4","false","0.03","1","1","0.02","3","150","1036","0.995164410058027","20.399419729206965","648","381","310","304"
